Boleracea_gene,NCBI_gene
Bo5g012200,106293278
Bo5g052220,106293279
Bo1g136120,106293280
Bo5g043780,106293281
Bo5g041500,106293282
Bo5g016920,106293283
Bo5g003080,106293284
Bo5g015270,106293285
Bo5g029130,106293286
Bo5g122630,106293289
Bo5g105050,106293290
Bo5g145340,106293291
Bo5g027190,106293293
Bo5g037420,106293294
Bo1g006070,106293295
Bo5g145240,106293296
Bo5g017940,106293297
Bo5g126280,106293298
Bo5g030280,106293299
Bo1g123440,106293302
Bo5g062640,106293303
Bo5g085180,106293304
Bo5g045210,106293305
Bo5g021950,106293306
Bo5g126150,106293308
Bo5g025960,106293309
Bo5g017440,106293310
Bo5g004350,106293311
Bo9g123490,106293312
Bo1g037120,106293313
Bo5g005170,106293314
Bo5g093480,106293315
Bo5g148090,106293316
Bo5g132900,106293317
Bo5g117220,106293318
Bo5g072780,106293319
Bo5g136910,106293322
Bo5g065920,106293323
Bo5g029040,106293324
Bo5g148790,106293325
Bo5g144670,106293326
Bo1g151840,106293328
Bo5g149890,106293329
Bo5g045130,106293330
Bo5g148460,106293331
Bo5g090480,106293332
Bo5g004390,106293333
Bo5g019610,106293334
Bo5g002580,106293335
Bo5g010410,106293336
Bo5g042720,106293337
Bo1g059260,106293338
Bo5g019960,106293339
Bo5g058590,106293340
Bo5g058450,106293341
Bo5g132260,106293342
Bo5g017910,106293343
Bo5g088350,106293345
Bo1g053760,106293347
Bo5g017690,106293348
Bo5g003380,106293349
Bo5g001200,106293351
Bo5g005150,106293352
Bo5g018150,106293353
Bo5g109710,106293354
Bo1g114740,106293355
Bo5g144860,106293356
Bo5g002490,106293357
Bo5g150100,106293360
Bo5g008590,106293361
Bo1g010900,106293362
Bo5g132940,106293363
Bo5g063060,106293364
Bo5g003190,106293365
Bo5g030940,106293366
Bo5g050570,106293367
Bo5g098430,106293368
Bo5g098440,106293369
Bo1g006980,106293370
Bo5g091840,106293371
Bo5g123790,106293372
Bo5g123800,106293373
Bo5g126650,106293374
Bo5g005610,106293376
Bo5g130250,106293377
Bo1g018020,106293378
Bo5g025730,106293379
Bo5g009160,106293380
Bo5g020280,106293381
Bo5g139760,106293382
Bo5g051840,106293383
Bo5g008000,106293384
Bo5g005080,106293385
Bo1g003150,106293386
Bo5g144920,106293387
Bo5g156340,106293390
Bo5g021570,106293391
Bo5g019580,106293392
Bo5g132880,106293394
Bo5g017710,106293395
Bo5g013490,106293397
Bo5g152850,106293398
Bo5g150310,106293399
Bo5g085240,106293400
Bo5g015000,106293401
Bo5g031990,106293404
Bo5g062360,106293405
Bo5g001150,106293406
Bo1g105440,106293407
Bo5g081280,106293408
Bo5g058510,106293409
Bo7g063560,106293410
Bo5g133000,106293412
Bo5g005590,106293413
Bo5g128870,106293414
Bo5g035280,106293416
Bo1g017730,106293417
Bo5g004080,106293418
Bo5g038570,106293423
Bo5g126660,106293425
Bo5g143460,106293427
Bo1g011790,106293429
Bo5g068250,106293430
Bo5g038730,106293432
Bo5g136940,106293433
Bo5g086740,106293435
Bo5g027280,106293436
Bo9g010140,106293437
Bo5g136840,106293439
Bo5g003010,106293441
Bo5g021240,106293443
Bo5g041220,106293444
Bo8g060110,106293445
Bo1g103800,106293447
Bo5g064500,106293448
Bo5g023570,106293449
Bo5g019570,106293450
Bo5g003410,106293451
Bo5g080090,106293453
Bo5g021920,106293454
Bo1g119160,106293455
Bo5g139290,106293456
Bo5g020430,106293457
Bo5g064490,106293458
Bo1g005070,106293459
Bo5g141200,106293461
Bo5g148180,106293462
Bo5g152690,106293463
Bo5g152710,106293464
Bo5g152680,106293465
Bo5g152640,106293466
Bo1g021420,106293467
Bo5g152700,106293468
Bo5g152720,106293469
Bo5g145290,106293470
Bo5g122890,106293472
Bo5g067010,106293473
Bo1g155060,106293477
Bo5g043670,106293479
Bo5g020480,106293480
Bo5g039340,106293481
Bo5g012130,106293482
Bo5g135060,106293483
Bo5g070620,106293484
Bo5g131850,106293485
Bo1g037050,106293486
Bo5g133270,106293487
Bo5g148060,106293488
Bo5g140060,106293489
Bo5g059730,106293490
Bo5g093470,106293491
Bo5g117080,106293492
Bo5g153920,106293493
Bo5g123380,106293495
Bo5g007020,106293496
Bo5g003670,106293497
Bo1g138900,106293498
Bo5g133330,106293499
Bo5g145210,106293500
Bo5g115560,106293502
Bo5g003590,106293503
Bo5g146910,106293504
Bo1g038970,106293507
Bo5g126960,106293509
Bo5g115600,106293510
Bo5g111130,106293511
Bo5g137050,106293512
Bo5g010240,106293518
Bo1g145040,106293520
Bo5g043270,106293521
Bo5g013500,106293522
Bo5g009920,106293525
Bo5g015310,106293527
Bo5g143220,106293531
Bo5g101010,106293532
Bo1g139530,106293533
Bo5g035270,106293536
Bo5g017650,106293537
Bo5g131860,106293539
Bo1g108940,106293541
Bo5g015330,106293543
Bo5g086970,106293545
Bo5g108500,106293546
Bo5g019810,106293548
Bo5g001070,106293550
Bo5g033050,106293551
Bo5g146650,106293553
